Date,No2
1990-02-01,17.4
1990-02-01,28.5
1990-03-01,14.7
1990-03-01,25.7
1990-04-01,17.1
1990-04-01,23
1990-05-01,18.6
1990-06-01,14.1
1990-06-01,19.3
1990-07-01,8.2
1990-07-01,12.1
1990-08-01,9.9
1990-08-01,12.3
1990-09-01,11.5
1990-09-01,17.8
1990-10-01,11.3
1990-10-01,27.5
1990-11-01,7.2
1990-11-01,35.9
1991-01-01,28
1991-01-01,10.4
1991-02-01,42.2
1991-02-01,18
1991-03-01,41.3
1991-03-01,12.2
1991-04-01,48.5
1991-04-01,12.4
1991-05-01,15.3
1991-05-01,38.6
1991-06-01,11.9
1991-06-01,19
1991-07-01,10
1991-07-01,17.3
1991-08-01,12.5
1991-08-01,12.6
1991-09-01,12.7
1991-09-01,23.4
1991-10-01,15.5
1991-10-01,25.7
1991-11-01,8.3
1991-11-01,39
1991-12-01,11.4
1991-12-01,47
1992-01-01,34.1
1992-01-01,14.7
1992-02-01,9.7
1992-02-01,37.8
1992-03-01,20.8
1992-03-01,38
1992-04-01,14.2
1992-04-01,33.2
1992-06-01,27.6
1992-06-01,13
1993-01-01,10.2
1993-01-01,44.8
1993-02-01,13.4
1993-02-01,33.9
1993-03-01,11.8
1993-03-01,32.6
1993-04-01,13.4
1993-04-01,31.6
1993-05-01,7.9
1993-05-01,30.9
1993-06-01,9.6
1993-06-01,17.7
1993-07-01,11.7
1993-07-01,11.1
1993-08-01,13.6
1993-08-01,11.2
1993-09-01,9.3
1993-09-01,11.1
1993-10-01,7.8
1993-10-01,18.6
1993-11-01,8
1993-11-01,41.1
1993-12-01,15.2
1993-12-01,48.9
1994-01-01,63
1994-01-01,15.5
1994-02-01,42.2
1994-02-01,9.4
1994-03-01,48.4
1994-03-01,16.8
1994-04-01,39.3
1994-04-01,8.5
1994-05-01,15.4
1994-05-01,32.4
1994-06-01,9.9
1994-06-01,22.6
1994-07-01,17.9
1994-07-01,8.1
1994-08-01,17
1994-08-01,11
1994-11-01,31.4
1994-11-01,10.3
1994-12-01,16.6
1994-12-01,44.7
1995-01-01,17.3
1995-02-01,16.2
1995-03-01,20.5
1995-04-01,14
1995-05-01,15.6
1995-07-01,18.4
1995-08-01,15.3
1995-09-01,24.2
1995-10-01,10.9
1995-11-01,7.9
1995-12-01,20.4
1995-01-01,34.8
1995-02-01,38.9
1995-03-01,39
1995-04-01,35.4
1995-05-01,21.4
1995-06-01,37.6
1995-07-01,32.1
1995-08-01,31.8
1995-09-01,26.6
1995-10-01,36.8
1995-11-01,35.4
1995-12-01,62.3
1996-01-01,36
1996-01-01,14.9
1996-02-01,43.2
1996-02-01,21.1
1996-03-01,44.2
1996-03-01,19.3
1996-04-01,40.5
1996-04-01,10.8
1996-05-01,22.2
1996-05-01,15.5
1996-06-01,32
1996-06-01,12.7
1996-07-01,38
1996-07-01,13.6
1996-08-01,17.7
1996-09-01,17.1
1996-10-01,9.9
1996-11-01,15
1996-12-01,26.5
1996-12-01,10.7
1997-01-01,28.4
1997-01-01,16
1997-02-01,23.7
1997-02-01,22.7
1997-03-01,19.2
1997-03-01,21.8
1997-04-01,14.7
1997-04-01,15.2
1997-05-01,13.1
1997-05-01,18.2
1997-06-01,8.1
1997-06-01,14.6
1997-07-01,8
1997-07-01,9.7
1997-08-01,10.9
1997-08-01,6.5
1997-09-01,20.5
1997-09-01,6.3
1997-10-01,26.7
1997-10-01,11.5
1997-11-01,14
1997-11-01,28.8
1997-12-01,25.1
1997-12-01,11.3
1998-01-01,31.6
1998-01-01,25.4
1998-02-01,49.1
1998-02-01,15.6
1998-03-01,63.6
1998-03-01,28.2
1998-04-01,60.1
1998-04-01,26.3
1998-05-01,62.2
1998-05-01,34.8
1998-06-01,43.8
1998-06-01,25.7
1998-07-01,36.7
1998-07-01,13.4
1998-08-01,66
1998-08-01,16.3
1998-09-01,47.6
1998-09-01,21.1
1998-11-01,60.3
1998-11-01,16.6
1998-12-01,82.4
1998-12-01,19.2
1999-01-01,21.1
1999-01-01,54.1
1999-02-01,12.1
1999-02-01,37.7
1999-03-01,24
1999-03-01,37.4
1999-04-01,21.6
1999-04-01,35.4
1999-05-01,17.8
1999-05-01,22.5
1999-06-01,21.3
1999-06-01,44
1999-07-01,26.5
1999-07-01,22.8
1999-08-01,20.2
1999-08-01,45.2
1999-09-01,22.7
1999-09-01,34.1
1999-10-01,7.6
1999-10-01,30.7
1999-11-01,12.8
1999-11-01,49.8
1999-12-01,22.8
1999-12-01,60
2000-01-01,14.9
2000-01-01,41.5
2000-02-01,15.1
2000-02-01,36.3
2000-03-01,12.2
2000-03-01,31.1
2000-04-01,11.9
2000-04-01,21.9
2000-05-01,17.4
2000-05-01,24.4
2000-06-01,11.5
2000-06-01,11.4
2000-07-01,8.5
2000-07-01,10.5
2000-08-01,11.6
2000-08-01,17.1
2000-09-01,12.5
2000-09-01,28.4
2000-10-01,13.6
2000-10-01,36.2
2000-11-01,9.1
2000-11-01,22
2000-12-01,15
2000-12-01,45.3
2001-01-01,10
2001-02-01,8.8
2001-03-01,9.5
2001-04-01,9.3
2001-05-01,14.1
2001-06-01,14.7
2001-07-01,21.3
2001-08-01,15.9
2001-09-01,26.1
2001-10-01,13.6
2001-11-01,7.9
2001-12-01,19.4
2001-01-01,21.6
2001-02-01,20.7
2001-03-01,32.9
2001-04-01,22.9
2001-05-01,27.5
2001-06-01,20.8
2001-07-01,35.2
2001-08-01,32.3
2001-09-01,41.3
2001-10-01,42
2001-11-01,36.6
2001-12-01,43.4
2002-01-01,15.5
2002-02-01,13.6
2002-03-01,14.4
2002-04-01,15.9
2002-05-01,20.2
2002-06-01,17.8
2002-07-01,24.8
2002-08-01,21.7
2002-09-01,28.3
2002-10-01,20.6
2002-11-01,21.1
2002-12-01,22.7
2002-01-01,42.3
2002-02-01,34.5
2002-03-01,41.4
2002-04-01,32.1
2002-05-01,30.8
2002-06-01,33.4
2002-07-01,34
2002-08-01,35.6
2002-09-01,48.3
2002-10-01,44.8
2002-11-01,49.3
2002-12-01,48
2004-02-01,12.3
2004-05-01,7
2004-09-01,11
2004-12-01,19.7
2004-01-16,17.9
2004-01-19,12.5
2004-01-23,16.3
2004-01-29,9.1
2004-01-30,20.7
2004-03-02,19.2
2004-06-02,23.7
2004-09-02,20.1
2004-02-13,21.8
2004-02-16,25.2
2004-02-20,16.5
2004-02-23,38.6
2004-02-26,23.8
2004-01-03,18.3
2004-05-03,19.9
2004-08-03,20.6
2004-12-03,20.5
2004-03-15,15.9
2004-03-19,19.9
2004-03-23,19.6
2004-03-26,4.5
2004-03-29,13.5
2004-02-04,16.3
2004-05-04,15.3
2004-09-04,21.1
2004-12-04,21.4
2004-04-16,21.1
2004-04-19,22.2
2004-04-24,22.1
2004-04-26,23.7
2004-04-30,23
2004-03-05,22.5
2004-07-05,30.2
2004-10-05,20.1
2004-05-15,22.3
2004-05-17,15.4
2004-05-21,15.1
2004-05-24,19
2004-05-28,18.3
2004-05-31,11.2
2004-02-06,9.2
2004-07-06,10.8
2004-11-06,10.4
2004-06-14,13.5
2004-06-18,12.5
2004-06-21,9.9
2004-06-25,11.5
2004-06-28,12.7
2004-03-07,11
2004-07-20,8.9
2004-07-23,19.4
2004-07-26,10.8
2004-07-30,12.1
2004-02-08,9.1
2004-06-08,11
2004-09-08,13.6
2004-08-13,12.9
2004-08-16,10.7
2004-08-20,9.9
2004-08-23,12.4
2004-08-27,10.6
2004-08-30,11.8
2004-03-09,12.9
2004-09-17,13.4
2004-09-20,11.3
2004-09-23,15.8
2004-09-27,16.5
2004-01-10,11.5
2004-04-10,10.8
2004-08-10,16.9
2004-11-10,14.7
2004-10-15,14.4
2004-10-18,14
2004-10-23,15.9
2004-10-25,15.6
2004-10-29,15.1
2004-01-11,17.1
2004-05-11,23.6
2004-11-19,51.2
2004-11-20,20.3
2004-11-22,22.9
2004-11-23,19.9
2004-11-26,22.1
2004-11-27,22.6
2004-11-29,16.1
2004-06-12,18.4
2004-07-12,18.6
2004-10-12,20.9
2004-12-13,17.6
2004-12-17,24.2
2004-12-20,33
2004-12-21,18.8
2004-12-27,22.8
2004-05-31,27.5
2004-07-06,27.4
2004-11-06,26.7
2004-06-14,24.6
2004-06-18,24
2004-06-21,22.9
2004-06-25,23.7
2004-02-07,19.6
2004-06-07,23.5
2004-07-20,25.8
2004-07-23,23.1
2004-07-26,20.8
2004-07-30,28.7
2004-02-08,18.5
2004-10-08,23
2004-12-08,22.5
2004-08-17,21.6
2004-08-20,22.1
2004-08-24,23.6
2004-08-26,17.8
2004-08-31,24.1
2004-03-09,15
2004-07-09,21.8
2004-09-09,11.9
2004-09-16,22.7
2004-09-21,22.2
2004-09-28,24.4
2004-09-29,30.9
2004-09-30,25.2
2004-05-10,22.6
2004-12-10,24.4
2004-10-19,23.3
2004-10-21,23
2004-10-26,26.8
2004-10-28,36.4
2004-10-29,31.7
2004-10-30,37.7
2004-10-31,32.5
2004-02-11,30.2
2004-04-11,37.5
2004-11-16,28.5
2004-11-19,30.4
2004-11-21,32.1
2004-11-23,34.8
2004-11-24,29.5
2004-11-25,29.8
2004-11-30,36
2004-02-12,37.1
2004-07-12,32
2004-09-12,34.3
2004-12-14,41.3
2004-12-16,35.6
2004-12-21,33.9
2004-12-23,32.5
2004-12-30,32.2
2004-05-31,21
2004-07-06,23.5
2004-08-06,20.7
2004-11-06,21.4
2004-06-14,21.1
2004-06-20,17.1
2004-06-24,23.7
2004-06-26,20.8
2004-06-07,22
2004-07-20,17.3
2004-07-23,20.1
2004-07-24,18.8
2004-07-27,20.1
2004-07-30,28.5
2004-02-08,13.8
2004-06-08,21.2
2004-10-08,21.6
2004-08-14,20.5
2004-08-17,20
2004-08-18,20.2
2004-08-24,26.6
2004-08-25,23.2
2004-08-31,22
2004-01-09,22.2
2004-08-09,22.1
2004-09-13,20.2
2004-09-14,29.7
2004-09-17,25.7
2004-09-21,20.2
2004-09-23,21.1
2004-09-28,21.9
2004-05-10,20.9
2004-07-10,22.2
2004-10-14,22.8
2004-10-19,21.3
2004-10-21,23.2
2004-10-26,33.3
2004-10-28,25.9
2004-10-29,24.1
2004-01-11,29.2
2004-02-11,25.6
2004-04-11,30.7
2004-11-16,32.7
